trip,type,direction,stop|苹果园|0103|0|1|A|1,stop|苹果园|0103|0|1|D|1,stop|古城路|0104|40|1|A|2,stop|古城路|0104|40|1|D|2,stop|八角游乐园|0105|80|1|A|3,stop|八角游乐园|0105|80|1|D|3,stop|八宝山|0106|120|1|A|4,stop|八宝山|0106|120|1|D|4,stop|玉泉路|0107|160|1|A|5,stop|玉泉路|0107|160|1|D|5,stop|五棵松|0108|200|1|A|6,stop|五棵松|0108|200|1|D|6,stop|万寿路|0109|240|1|A|7,stop|万寿路|0109|240|1|D|7,stop|公主坟（1号线）|0110|280|1|A|8,stop|公主坟（1号线）|0110|280|1|D|8,stop|军事博物馆（1号线）|0111|320|1|A|9,stop|军事博物馆（1号线）|0111|320|1|D|9,stop|木樨地|0112|360|1|A|10,stop|木樨地|0112|360|1|D|10,stop|南礼士路|0113|400|1|A|11,stop|南礼士路|0113|400|1|D|11,stop|复兴门（1号线）|0114|440|1|A|12,stop|复兴门（1号线）|0114|440|1|D|12,stop|西单（1号线）|0115|480|1|A|13,stop|西单（1号线）|0115|480|1|D|13,stop|天安门西|0116|520|1|A|14,stop|天安门西|0116|520|1|D|14,stop|天安门东|0117|560|1|A|15,stop|天安门东|0117|560|1|D|15,stop|王府井|0118|600|1|A|16,stop|王府井|0118|600|1|D|16,stop|东单（1号线）|0119|640|1|A|17,stop|东单（1号线）|0119|640|1|D|17,stop|建国门（1号线）|0120|680|1|A|18,stop|建国门（1号线）|0120|680|1|D|18,stop|永安里|0121|720|1|A|19,stop|永安里|0121|720|1|D|19,stop|国贸（1号线）|0122|760|1|A|20,stop|国贸（1号线）|0122|760|1|D|20,stop|大望路|0123|800|1|A|21,stop|大望路|0123|800|1|D|21,stop|四惠（1号线）|0124|840|1|A|22,stop|四惠（1号线）|0124|840|1|D|22,stop|四惠东（1号线）|0125|880|1|A|23,stop|四惠东（1号线）|0125|880|1|D|23
1007,REAL,1,20140702054256,20140702054156,20140702053816,20140702053646,20140702053416,20140702053346,20140702053116,20140702053046,20140702052846,20140702052816,20140702052556,20140702052521,20140702052311,20140702052236,20140702052046,20140702052006,20140702051826,20140702051736,20140702051556,20140702051526,20140702051326,20140702051300,20140702051200,20140702051030,20140702050830,20140702050830,20140702050700,20140702050700,20140702050530,20140702050530,20140702050400,20140702050400,20140702050240,20140702050240,20140702050050,20140702050050,20140702045850,20140702045850,20140702045740,20140702045740,20140702045540,20140702045540,20140702045310,20140702045310,-,-
1008,REAL,1,20140702055215,20140702055115,20140702054735,20140702054705,20140702054435,20140702054405,20140702054135,20140702054105,20140702053905,20140702053835,20140702053615,20140702053540,20140702053330,20140702053255,20140702053105,20140702053025,20140702052845,20140702052755,20140702052615,20140702052545,20140702052345,20140702052319,20140702052219,20140702052136,20140702051936,20140702051856,20140702051726,20140702051700,20140702051530,20140702051504,20140702051334,20140702051304,20140702051144,20140702051104,20140702050914,20140702050833,20140702050633,20140702050603,20140702050453,20140702050408,20140702050208,20140702050130,20140702045900,20140702045830,-,-
1010,REAL,1,20140702060315,20140702060215,20140702055835,20140702055805,20140702055535,20140702055505,20140702055235,20140702055205,20140702055005,20140702054935,20140702054715,20140702054640,20140702054430,20140702054355,20140702054205,20140702054125,20140702053945,20140702053855,20140702053715,20140702053645,20140702053445,20140702053419,20140702053319,20140702053236,20140702053036,20140702052956,20140702052826,20140702052800,20140702052630,20140702052604,20140702052434,20140702052404,20140702052244,20140702052204,20140702052014,20140702051933,20140702051733,20140702051703,20140702051553,20140702051508,20140702051308,20140702051230,20140702051000,20140702050930,20140702050700,20140702050600
1011,REAL,1,20140702060945,20140702060845,20140702060505,20140702060435,20140702060205,20140702060135,20140702055905,20140702055835,20140702055635,20140702055605,20140702055345,20140702055310,20140702055100,20140702055025,20140702054835,20140702054755,20140702054615,20140702054525,20140702054345,20140702054315,20140702054115,20140702054049,20140702053949,20140702053906,20140702053706,20140702053626,20140702053456,20140702053430,20140702053300,20140702053234,20140702053104,20140702053034,20140702052914,20140702052834,20140702052644,20140702052603,20140702052403,20140702052333,20140702052223,20140702052138,20140702051938,20140702051900,20140702051630,20140702051600,20140702051330,20140702051230
1012,REAL,1,20140702061545,20140702061445,20140702061105,20140702061035,20140702060805,20140702060735,20140702060505,20140702060435,20140702060235,20140702060205,20140702055945,20140702055910,20140702055700,20140702055625,20140702055435,20140702055355,20140702055215,20140702055125,20140702054945,20140702054915,20140702054715,20140702054649,20140702054549,20140702054506,20140702054306,20140702054226,20140702054056,20140702054030,20140702053900,20140702053834,20140702053704,20140702053634,20140702053514,20140702053434,20140702053244,20140702053203,20140702053003,20140702052933,20140702052823,20140702052738,20140702052538,20140702052500,20140702052230,20140702052200,-,-
1013,REAL,1,20140702062135,20140702062035,20140702061655,20140702061625,20140702061355,20140702061325,20140702061055,20140702061025,20140702060825,20140702060755,20140702060535,20140702060500,20140702060250,20140702060215,20140702060025,20140702055945,20140702055805,20140702055715,20140702055535,20140702055505,20140702055305,20140702055239,20140702055139,20140702055056,20140702054856,20140702054816,20140702054646,20140702054620,20140702054450,20140702054424,20140702054254,20140702054224,20140702054104,20140702054024,20140702053834,20140702053753,20140702053553,20140702053523,20140702053413,20140702053328,20140702053128,20140702053050,20140702052820,20140702052750,20140702052520,20140702052420
1014,REAL,1,20140702062515,20140702062415,20140702062035,20140702062005,20140702061735,20140702061705,20140702061435,20140702061405,20140702061205,20140702061135,20140702060915,20140702060840,20140702060630,20140702060555,20140702060405,20140702060325,20140702060145,20140702060055,20140702055915,20140702055845,20140702055645,20140702055619,20140702055519,20140702055436,20140702055236,20140702055156,20140702055026,20140702055000,20140702054830,20140702054804,20140702054634,20140702054604,20140702054444,20140702054404,20140702054214,20140702054133,20140702053933,20140702053903,20140702053753,20140702053708,20140702053508,20140702053430,20140702053200,20140702053130,-,-
1015,REAL,1,20140702063115,20140702063015,20140702062635,20140702062605,20140702062335,20140702062305,20140702062035,20140702062005,20140702061805,20140702061735,20140702061515,20140702061440,20140702061230,20140702061155,20140702061005,20140702060925,20140702060745,20140702060655,20140702060515,20140702060445,20140702060245,20140702060219,20140702060119,20140702060036,20140702055836,20140702055756,20140702055626,20140702055600,20140702055430,20140702055404,20140702055234,20140702055204,20140702055044,20140702055004,20140702054814,20140702054733,20140702054533,20140702054503,20140702054353,20140702054308,20140702054108,20140702054030,20140702053800,20140702053730,20140702053500,20140702053400
1016,REAL,1,20140702063650,20140702063550,20140702063210,20140702063140,20140702062910,20140702062840,20140702062610,20140702062540,20140702062340,20140702062310,20140702062050,20140702062015,20140702061805,20140702061730,20140702061540,20140702061500,20140702061320,20140702061230,20140702061050,20140702061020,20140702060820,20140702060754,20140702060654,20140702060611,20140702060411,20140702060331,20140702060201,20140702060135,20140702060005,20140702055939,20140702055809,20140702055739,20140702055619,20140702055539,20140702055349,20140702055308,20140702055108,20140702055038,20140702054928,20140702054843,20140702054643,20140702054605,20140702054335,20140702054305,-,-
1017,REAL,1,20140702063905,20140702063805,20140702063425,20140702063355,20140702063125,20140702063055,20140702062825,20140702062755,20140702062555,20140702062525,20140702062305,20140702062230,20140702062020,20140702061945,20140702061755,20140702061715,20140702061535,20140702061445,20140702061305,20140702061235,20140702061035,20140702061009,20140702060909,20140702060826,20140702060626,20140702060546,20140702060416,20140702060350,20140702060220,20140702060154,20140702060024,20140702055954,20140702055834,20140702055754,20140702055604,20140702055523,20140702055323,20140702055253,20140702055143,20140702055058,20140702054858,20140702054820,20140702054550,20140702054520,20140702054250,20140702054150
1018,REAL,1,20140702064120,20140702064020,20140702063640,20140702063610,20140702063340,20140702063310,20140702063040,20140702063010,20140702062810,20140702062740,20140702062520,20140702062445,20140702062235,20140702062200,20140702062010,20140702061930,20140702061750,20140702061700,20140702061520,20140702061450,20140702061250,20140702061224,20140702061124,20140702061041,20140702060841,20140702060801,20140702060631,20140702060605,20140702060435,20140702060409,20140702060239,20140702060209,20140702060049,20140702060009,20140702055819,20140702055738,20140702055538,20140702055508,20140702055358,20140702055313,20140702055113,20140702055035,20140702054805,20140702054735,-,-
1019,REAL,1,20140702064335,20140702064235,20140702063855,20140702063825,20140702063555,20140702063525,20140702063255,20140702063225,20140702063025,20140702062955,20140702062735,20140702062700,20140702062450,20140702062415,20140702062225,20140702062145,20140702062005,20140702061915,20140702061735,20140702061705,20140702061505,20140702061439,20140702061339,20140702061256,20140702061056,20140702061016,20140702060846,20140702060820,20140702060650,20140702060624,20140702060454,20140702060424,20140702060304,20140702060224,20140702060034,20140702055953,20140702055753,20140702055723,20140702055613,20140702055528,20140702055328,20140702055250,20140702055020,20140702054950,20140702054720,20140702054620
1020,REAL,1,20140702064550,20140702064450,20140702064110,20140702064040,20140702063810,20140702063740,20140702063510,20140702063440,20140702063240,20140702063210,20140702062950,20140702062915,20140702062705,20140702062630,20140702062440,20140702062400,20140702062220,20140702062130,20140702061950,20140702061920,20140702061720,20140702061654,20140702061554,20140702061511,20140702061311,20140702061231,20140702061101,20140702061035,20140702060905,20140702060839,20140702060709,20140702060639,20140702060519,20140702060439,20140702060249,20140702060208,20140702060008,20140702055938,20140702055828,20140702055743,20140702055543,20140702055505,20140702055235,20140702055205,-,-
1021,REAL,1,20140702064810,20140702064710,20140702064330,20140702064300,20140702064030,20140702064000,20140702063730,20140702063700,20140702063500,20140702063430,20140702063210,20140702063135,20140702062925,20140702062850,20140702062700,20140702062620,20140702062440,20140702062350,20140702062210,20140702062140,20140702061940,20140702061914,20140702061814,20140702061731,20140702061531,20140702061451,20140702061321,20140702061255,20140702061125,20140702061059,20140702060929,20140702060859,20140702060739,20140702060659,20140702060509,20140702060428,20140702060228,20140702060158,20140702060048,20140702060003,20140702055803,20140702055725,20140702055455,20140702055425,20140702055155,20140702055055
1022,REAL,1,20140702065040,20140702064940,20140702064600,20140702064530,20140702064300,20140702064230,20140702064000,20140702063930,20140702063730,20140702063700,20140702063440,20140702063405,20140702063155,20140702063120,20140702062930,20140702062850,20140702062710,20140702062620,20140702062440,20140702062410,20140702062210,20140702062144,20140702062044,20140702062001,20140702061801,20140702061721,20140702061551,20140702061525,20140702061355,20140702061329,20140702061159,20140702061129,20140702061009,20140702060929,20140702060739,20140702060658,20140702060458,20140702060428,20140702060318,20140702060233,20140702060033,20140702055955,20140702055725,20140702055655,-,-
1023,REAL,1,20140702065310,20140702065210,20140702064830,20140702064800,20140702064530,20140702064500,20140702064230,20140702064200,20140702064000,20140702063930,20140702063710,20140702063635,20140702063425,20140702063350,20140702063200,20140702063120,20140702062940,20140702062850,20140702062710,20140702062640,20140702062440,20140702062414,20140702062314,20140702062231,20140702062031,20140702061951,20140702061821,20140702061755,20140702061625,20140702061559,20140702061429,20140702061359,20140702061239,20140702061159,20140702061009,20140702060928,20140702060728,20140702060658,20140702060548,20140702060503,20140702060303,20140702060225,20140702055955,20140702055925,20140702055655,20140702055555
1024,REAL,1,20140702065540,20140702065440,20140702065100,20140702065030,20140702064800,20140702064730,20140702064500,20140702064430,20140702064230,20140702064200,20140702063940,20140702063905,20140702063655,20140702063620,20140702063430,20140702063350,20140702063210,20140702063120,20140702062940,20140702062910,20140702062710,20140702062644,20140702062544,20140702062501,20140702062301,20140702062221,20140702062051,20140702062025,20140702061855,20140702061829,20140702061659,20140702061629,20140702061509,20140702061429,20140702061239,20140702061158,20140702060958,20140702060928,20140702060818,20140702060733,20140702060533,20140702060455,20140702060225,20140702060155,-,-
1025,REAL,1,20140702065810,20140702065710,20140702065330,20140702065300,20140702065030,20140702065000,20140702064730,20140702064700,20140702064500,20140702064430,20140702064210,20140702064135,20140702063925,20140702063850,20140702063700,20140702063620,20140702063440,20140702063350,20140702063210,20140702063140,20140702062940,20140702062914,20140702062814,20140702062731,20140702062531,20140702062451,20140702062321,20140702062255,20140702062125,20140702062059,20140702061929,20140702061859,20140702061739,20140702061659,20140702061509,20140702061428,20140702061228,20140702061158,20140702061048,20140702061003,20140702060803,20140702060725,20140702060455,20140702060425,20140702060155,20140702060055
1026,REAL,1,20140702070035,20140702065935,20140702065555,20140702065525,20140702065255,20140702065225,20140702064955,20140702064925,20140702064725,20140702064655,20140702064435,20140702064400,20140702064150,20140702064115,20140702063925,20140702063845,20140702063705,20140702063615,20140702063435,20140702063405,20140702063205,20140702063139,20140702063039,20140702062956,20140702062756,20140702062716,20140702062546,20140702062520,20140702062350,20140702062324,20140702062154,20140702062124,20140702062004,20140702061924,20140702061734,20140702061653,20140702061453,20140702061423,20140702061313,20140702061228,20140702061028,20140702060950,20140702060720,20140702060650,20140702060420,20140702060320
1027,REAL,1,20140702070250,20140702070150,20140702065810,20140702065740,20140702065510,20140702065440,20140702065210,20140702065140,20140702064940,20140702064910,20140702064650,20140702064615,20140702064405,20140702064330,20140702064140,20140702064100,20140702063920,20140702063830,20140702063650,20140702063620,20140702063420,20140702063354,20140702063254,20140702063211,20140702063011,20140702062931,20140702062801,20140702062735,20140702062605,20140702062539,20140702062409,20140702062339,20140702062219,20140702062139,20140702061949,20140702061908,20140702061708,20140702061638,20140702061528,20140702061443,20140702061243,20140702061205,20140702060935,20140702060905,-,-
1028,REAL,1,20140702070455,20140702070355,20140702070015,20140702065945,20140702065715,20140702065645,20140702065415,20140702065345,20140702065145,20140702065115,20140702064855,20140702064820,20140702064610,20140702064535,20140702064345,20140702064305,20140702064125,20140702064035,20140702063855,20140702063825,20140702063625,20140702063559,20140702063459,20140702063416,20140702063216,20140702063136,20140702063006,20140702062940,20140702062810,20140702062744,20140702062614,20140702062544,20140702062424,20140702062344,20140702062154,20140702062113,20140702061913,20140702061843,20140702061733,20140702061648,20140702061448,20140702061410,20140702061140,20140702061110,20140702060840,20140702060740
1029,REAL,1,20140702070700,20140702070600,20140702070220,20140702070150,20140702065920,20140702065850,20140702065620,20140702065550,20140702065350,20140702065320,20140702065100,20140702065025,20140702064815,20140702064740,20140702064550,20140702064510,20140702064330,20140702064240,20140702064100,20140702064030,20140702063830,20140702063804,20140702063704,20140702063621,20140702063421,20140702063341,20140702063211,20140702063145,20140702063015,20140702062949,20140702062819,20140702062749,20140702062629,20140702062549,20140702062359,20140702062318,20140702062118,20140702062048,20140702061938,20140702061853,20140702061653,20140702061615,20140702061345,20140702061315,-,-
1030,REAL,1,20140702070905,20140702070805,20140702070425,20140702070355,20140702070125,20140702070055,20140702065825,20140702065755,20140702065555,20140702065525,20140702065305,20140702065230,20140702065020,20140702064945,20140702064755,20140702064715,20140702064535,20140702064445,20140702064305,20140702064235,20140702064035,20140702064009,20140702063909,20140702063826,20140702063626,20140702063546,20140702063416,20140702063350,20140702063220,20140702063154,20140702063024,20140702062954,20140702062834,20140702062754,20140702062604,20140702062523,20140702062323,20140702062253,20140702062143,20140702062058,20140702061858,20140702061820,20140702061550,20140702061520,20140702061250,20140702061150
1031,REAL,1,20140702071110,20140702071010,20140702070630,20140702070600,20140702070330,20140702070300,20140702070030,20140702070000,20140702065800,20140702065730,20140702065510,20140702065435,20140702065225,20140702065150,20140702065000,20140702064920,20140702064740,20140702064650,20140702064510,20140702064440,20140702064240,20140702064214,20140702064114,20140702064031,20140702063831,20140702063751,20140702063621,20140702063555,20140702063425,20140702063359,20140702063229,20140702063159,20140702063039,20140702062959,20140702062809,20140702062728,20140702062528,20140702062458,20140702062348,20140702062303,20140702062103,20140702062025,20140702061755,20140702061725,20140702061455,20140702061355
1032,REAL,1,20140702071315,20140702071215,20140702070835,20140702070805,20140702070535,20140702070505,20140702070235,20140702070205,20140702070005,20140702065935,20140702065715,20140702065640,20140702065430,20140702065355,20140702065205,20140702065125,20140702064945,20140702064855,20140702064715,20140702064645,20140702064445,20140702064419,20140702064319,20140702064236,20140702064036,20140702063956,20140702063826,20140702063800,20140702063630,20140702063604,20140702063434,20140702063404,20140702063244,20140702063204,20140702063014,20140702062933,20140702062733,20140702062703,20140702062553,20140702062508,20140702062308,20140702062230,20140702062000,20140702061930,-,-
1033,REAL,1,20140702071520,20140702071420,20140702071040,20140702071010,20140702070740,20140702070710,20140702070440,20140702070410,20140702070210,20140702070140,20140702065920,20140702065845,20140702065635,20140702065600,20140702065410,20140702065330,20140702065150,20140702065100,20140702064920,20140702064850,20140702064650,20140702064624,20140702064524,20140702064441,20140702064241,20140702064201,20140702064031,20140702064005,20140702063835,20140702063809,20140702063639,20140702063609,20140702063449,20140702063409,20140702063219,20140702063138,20140702062938,20140702062908,20140702062758,20140702062713,20140702062513,20140702062435,20140702062205,20140702062135,20140702061905,20140702061805
